Timestamp,Grade,Gender,Race,OnCampus,KnowName,ElectPart,Impact,MyOpinion,CampusOpinion,HearAbout,EventPart,WhyPart,BigIssue,EventKind,Additional comments and suggestions,,,,,,
2/2/19 14:55,First-year,Female,Black or African American,Yes,"""girl from twitter that was lowkey roasted""",1,1,3,3,1,3-5 times,"My friends encouraged me to go, I saw it on social media, Free food or swag","Campus civility, Civic Engagement, Diversity",Interactive events,,,,,,,
2/4/19 21:16,First-year,Female,Asian,No,No,1,1,5,3,3,None,"I was interested in a subject or area, It seemed fun, My friends encouraged me to go","Diversity, Connection to campus, Civic Engagement",Service events,,,,,,,
1/30/19 15:51,Junior,Female,Asian,No,No,2,3,3,4,4,1-2 times,Free food or swag,Free speech,Interactive events,,,,,,,
2/1/19 16:02,Junior,Female,Asian,No,No,2,2,2,2,2,1-2 times,It seemed fun,Affordability,Speakers and talks,,,,,,,
2/4/19 21:27,Junior,Female,Asian,No,No,2,3,3,4,2,1-2 times,Personal or professional development,"Diversity, Academic challenges, Environmental issues, Career readiness, Affordability","Interactive events, Training and informationals, Service events",,,,,,,
1/30/19 17:30,Senior,Female,Asian,No,No,1,2,5,5,2,None,Not applicable,Connection to campus,Social events,,,,,,,
2/1/19 15:50,Senior,Female,Asian,No,No,1,3,3,3,4,1-2 times,My friends encouraged me to go,"Affordability, Mental health, Academic challenges","Social events, Training and informationals, Interactive events",,,,,,,
2/2/19 15:35,Senior,Female,Asian,No,No,1,1,3,3,2,None,Not applicable,"Affordability, Mental health, Academic challenges","Speakers and talks, Service events",,,,,,,
2/2/19 15:37,Senior,Female,Asian,No,No,2,3,3,3,3,None,Not applicable,"Affordability, Campus civility, Civic Engagement, Mental health, Academic challenges, Career readiness, Environmental issues, Diversity, Student Wellness","Speakers and talks, Service events, Social events, Interactive events",,,,,,,
2/2/19 15:40,Senior,Female,Asian,No,No,1,3,3,3,3,1-2 times,Not applicable,"Affordability, Mental health, Diversity, Student Wellness",Social events,,,,,,,
2/2/19 16:51,Senior,Female,Asian,No,No,1,1,2,2,2,None,Not applicable,"Affordability, Campus civility, Civic Engagement, Mental health, Diversity","Speakers and talks, QnA Forums, Service events, Interactive events",,,,,,,
2/2/19 16:53,Senior,Female,Asian,No,No,2,3,3,4,3,None,Not applicable,Affordability,"QnA Forums, Service events, Interactive events",,,,,,,
2/2/19 21:05,Senior,Female,Asian,No,No,1,1,3,4,2,None,Free food or swag,"Mental health, Diversity, Student Wellness",Interactive events,,,,,,,
2/2/19 21:36,Senior,Female,Asian,No,No,1,2,3,3,1,None,Not applicable,"Career readiness, Diversity, Student Wellness","Service events, Social events, Training and informationals",,,,,,,
2/4/19 20:34,Senior,Female,Asian,No,No,1,3,4,3,1,None,Not applicable,"Environmental issues, Mental health, Campus civility",,,,,,,,
2/10/19 19:56,Senior,Female,Asian,No,No,1,1,3,3,2,None,Not applicable,"Academic challenges, Environmental issues, Career readiness, Mental health, Affordability","Interactive events, Social events, Speakers and talks",,,,,,,
2/1/19 23:32,Sophomore,Female,Asian,No,No,1,1,3,4,1,None,Free food or swag,"Affordability, Mental health, Connection to campus, Career readiness, Student Wellness","Speakers and talks, Social events",,,,,,,
2/2/19 15:10,Sophomore,Female,Asian,No,No,4,3,4,4,2,3-5 times,"It seemed fun, I saw it on a poster or flyer, Free food or swag","Mental health, Environmental issues, Student Wellness","Service events, Social events, Training and informationals, Interactive events",,,,,,,
2/2/19 15:13,Sophomore,Female,Asian,No,No,1,2,3,2,1,None,Not applicable,"Affordability, Mental health, Connection to campus, Academic challenges, Career readiness, Environmental issues","Service events, Training and informationals",,,,,,,
2/4/19 20:08,Sophomore,Female,Asian,No,No,1,1,1,1,2,1-2 times,My friends encouraged me to go,Connection to campus,Interactive events,,,,,,,
2/6/19 19:08,Sophomore,Female,Asian,No,No,1,1,3,3,3,None,"Free food or swag, I saw it on social media, I saw it on a poster or flyer","Diversity, Mental health",Discussions and seminars,,,,,,,
